group_id,type,input_text,target_text,facts,masked_rules,question,missing_rule
cc1cd892-887c-4148-ad8c-0eb067855e7a,stage1_generative_young_cold,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is young then they are cold.
cc92c744-c049-4ca7-ac1e-869968dc4f80,stage1_generative_contrapositive,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is not young then they are not rough.
a6caa095-5947-4dcd-808e-731223025a2f,stage1_generative_cold_rough,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is cold then they are rough.
cc338128-2b54-4509-8803-283095582aa0,stage1_generative_young_cold,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: David is cold.,If someone is young then they are cold.
b6fdf420-5415-4d4d-bcc7-25558cce4c01,stage1_generative_contrapositive,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is not young then they are not rough.
6cd3e451-148f-4d7b-abe6-82137949f1e2,stage1_generative_cold_rough,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
11d14ac5-909e-4353-9f1d-6cb51d92cecb,stage1_generative_young_cold,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is young then they are cold.
f39ba3d6-8f7c-4382-901e-1ed277b94405,stage1_generative_contrapositive,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is not young then they are not rough.
751c7c6b-fd7b-497b-a451-76e124e0b947,stage1_generative_cold_rough,"Given the following information:

Facts: David is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,David is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is cold then they are rough.
e2e2be63-5e63-4f1d-a55d-5551ef36bade,stage1_generative_young_cold,"Given the following information:

Facts: David is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,David is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: David is cold.,If someone is young then they are cold.
50f31a3f-0fa6-4720-a0d3-8ee6847b50ad,stage1_generative_contrapositive,"Given the following information:

Facts: David is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,David is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is not young then they are not rough.
bebaaad2-e12d-447c-9f69-59823a7b4e49,stage1_generative_cold_rough,"Given the following information:

Facts: Bob is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Bob is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Bob is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Bob is cold.,If someone is cold then they are rough.
7452b60e-8cda-444d-b74d-bccc4e886115,stage1_generative_young_cold,"Given the following information:

Facts: Bob is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Bob is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Bob is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Bob is cold.,If someone is young then they are cold.
e53efe73-8416-4e4c-b986-04f086b18dd2,stage1_generative_contrapositive,"Given the following information:

Facts: Bob is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Bob is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Bob is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Bob is cold.,If someone is not young then they are not rough.
d31df13e-7dff-41b8-8610-21b9a422d5bb,stage1_generative_cold_rough,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
f5874e0f-abf1-4eca-ad15-e7694783d407,stage1_generative_young_cold,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is young then they are cold.
c6120352-e0c6-45ee-9802-1306cc5c54ef,stage1_generative_contrapositive,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is not young then they are not rough.
f3c87d69-b5f5-4aa1-9fdf-9a1a2272e32c,stage1_generative_cold_rough,"Given the following information:

Facts: David is blue or green

Rules:
- If someone is blue then they are cold.
- If someone is green then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,David is blue or green,If someone is blue then they are cold. | If someone is green then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is cold then they are rough.
bbae0a8a-cb82-4c5e-b216-b923c66d7395,stage1_generative_young_cold,"Given the following information:

Facts: David is blue or green

Rules:
- If someone is blue then they are cold.
- If someone is green then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,David is blue or green,If someone is blue then they are cold. | If someone is green then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: David is cold.,If someone is young then they are cold.
d49566c6-8bb6-4a64-b236-64830d2885f4,stage1_generative_contrapositive,"Given the following information:

Facts: David is blue or green

Rules:
- If someone is blue then they are cold.
- If someone is green then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,David is blue or green,If someone is blue then they are cold. | If someone is green then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is not young then they are not rough.
ed219928-0a16-459b-bcac-077351b59af0,stage1_generative_cold_rough,"Given the following information:

Facts: Helen is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Helen is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
c8390b61-8141-41e8-9d61-3bec2faa945a,stage1_generative_young_cold,"Given the following information:

Facts: Helen is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Helen is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is young then they are cold.
66eb719d-d350-4813-b18f-165e18c3963d,stage1_generative_contrapositive,"Given the following information:

Facts: Helen is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Helen is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is not young then they are not rough.
c52decb2-f3b6-4427-abd0-ea5a55729a0e,stage1_generative_cold_rough,"Given the following information:

Facts: Claire is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Claire is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Claire is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Claire is cold.,If someone is cold then they are rough.
256b23c9-4766-49dc-bcbd-02ee9fcaceec,stage1_generative_young_cold,"Given the following information:

Facts: Claire is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Claire is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Claire is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Claire is cold.,If someone is young then they are cold.
082c1d4e-0cad-4d94-8788-530d66641c25,stage1_generative_contrapositive,"Given the following information:

Facts: Claire is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Claire is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Claire is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Claire is cold.,If someone is not young then they are not rough.
3d1e50db-3cfe-4d51-a770-fc506440e84d,stage1_generative_cold_rough,"Given the following information:

Facts: Anne is yellow or blue

Rules:
- If someone is yellow then they are cold.
- If someone is blue then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Anne is yellow or blue,If someone is yellow then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is cold then they are rough.
91ba0978-a3f1-40de-aa2d-ddb0c76d2036,stage1_generative_young_cold,"Given the following information:

Facts: Anne is yellow or blue

Rules:
- If someone is yellow then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Anne is yellow or blue,If someone is yellow then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is young then they are cold.
10ddd514-d849-4125-aac4-bf5b037b5cd1,stage1_generative_contrapositive,"Given the following information:

Facts: Anne is yellow or blue

Rules:
- If someone is yellow then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Anne is yellow or blue,If someone is yellow then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is not young then they are not rough.
4affd0e3-127b-4901-9f93-53bcb5dfa024,stage1_generative_cold_rough,"Given the following information:

Facts: Grace is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Grace is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Grace is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Grace is cold.,If someone is cold then they are rough.
b5cd4114-1c07-4ba8-8064-6a93d236e32a,stage1_generative_young_cold,"Given the following information:

Facts: Grace is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Grace is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Grace is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Grace is cold.,If someone is young then they are cold.
9e05ddd9-23c6-4c83-817a-46d1a339c742,stage1_generative_contrapositive,"Given the following information:

Facts: Grace is red or blue

Rules:
- If someone is red then they are cold.
- If someone is blue then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Grace is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Grace is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Grace is cold.,If someone is not young then they are not rough.
fc137714-dce9-4892-8f31-f4d5d42b8fc7,stage1_generative_cold_rough,"Given the following information:

Facts: Frank is red or green

Rules:
- If someone is red then they are cold.
- If someone is green then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Frank is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Frank is red or green,If someone is red then they are cold. | If someone is green then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Frank is cold.,If someone is cold then they are rough.
51dba0b9-3d7b-40a8-8931-5b4748b9fdbf,stage1_generative_young_cold,"Given the following information:

Facts: Frank is red or green

Rules:
- If someone is red then they are cold.
- If someone is green then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Frank is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Frank is red or green,If someone is red then they are cold. | If someone is green then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Frank is cold.,If someone is young then they are cold.
87239f91-ed1b-44b5-9eef-23152b649ec8,stage1_generative_contrapositive,"Given the following information:

Facts: Frank is red or green

Rules:
- If someone is red then they are cold.
- If someone is green then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Frank is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Frank is red or green,If someone is red then they are cold. | If someone is green then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Frank is cold.,If someone is not young then they are not rough.
828b9de3-fa54-4b4f-a134-cabcf66f4f4a,stage1_generative_cold_rough,"Given the following information:

Facts: Helen is green or blue

Rules:
- If someone is green then they are cold.
- If someone is blue then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Helen is green or blue,If someone is green then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
